	Domain	Phylum	Class	Order	Family	Genus
f3fffa72a8c372f99ab738d54ee58dbfecae5f41	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Dongia
3e95cc7aed29698b66d7a4028143d6e470c82635	Bacteria	Actinomycetota	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Bailinhaonella
5491670bbaa0726d09aff4b018405bc08223f6d3	Bacteria	Acidobacteriota	Acidobacteria_Gp2	Gp2	Gp2	Gp2
021d23578d4295e62ac1f724b43bf82c775cab41	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Occallatibacter
a9c0512d2eb74315bc9321c3abd680b524fefd7e	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Stellaceae	Stella
b6c9edfbfcd1cb549a580f435a8662fe947005c3	Bacteria	Acidobacteriota	Acidobacteria_Gp2	Gp2	Gp2	Gp2
54eaa5484412db8fed602d494a4f91ae9415d0e4	Bacteria	Gemmatimonadota	Gemmatimonadia	Gemmatimonadales	Gemmatimonadaceae	Gemmatirosa
54f27d17129902dfb42406b2adb0378aa9b19fb2	Bacteria	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Niabella
55ccb89ffc1a0562b241e9d981698bfbc7fd7eb4	Bacteria	Acidobacteriota	Acidobacteria_Gp22	Gp22	Gp22	Gp22
06d72d8c9b4aa8e285eba4588ad1da5eda4cfa6e	Bacteria	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Flavitalea
2313b0dc2987dd8a36e0c0926853097e21c848d1	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Caldimonas
7c4fa7090b65974c7b19b7df00bd8319ef0bd504	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Caballeronia
2bf9e16cfb422d898de1eabc592de21c7024550a	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Candidatus Koribacter
fa65362d42e2feda397d202715c9a0fe865a6bc5	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Stellaceae	Stella
ca706a3b933c879085eeafb695cebee3ed7550ac	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Telmatospirillum
a4a035638a0a5778dc9f5ecfe09ec5e03ee61551	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Kaistiaceae	Bauldia
512d7b84ff86257a9cf7e068b39be7f9d4b0e60c	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiaceae	Rhodomicrobium
27e9f0658d9d571e3d3de680254fc4f6f1d0a4df	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Nitrobacter
411e6458db5fcec6634ddbb767cd0ef234f40fbb	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella
a08e531848f9d227ce1afa9ebe83fbbd2747a59d	Bacteria	Acidobacteriota	Acidobacteria_Gp3	Gp3	Gp3	Gp3
9208cbfd5b18db32a848d12a957e96470b55a233	Bacteria	Acidobacteriota	Acidobacteria_Gp1	Gp1	Gp1	Gp1
4bb6d645ad736a32a1ceb045dfd8116077d363e1	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Pseudolabrys
5e9b6cb7a0d7fb137a5ea24e59db7017d7b6531b	Bacteria	Actinomycetota	Actinobacteria	Geodermatophilales	Geodermatophilaceae	Modestobacter
4c5708d6b6eaff8fa3ad27d197acb899ca657a11	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Ilumatobacteraceae	Desertimonas
6fe4cb1200c738e4c0a7d028842f31d6046dd127	Bacteria	Pseudomonadota	Betaproteobacteria	Betaproteobacteria_incertae_sedis	Casimicrobiaceae	Casimicrobium
1186ed8e5629d81db8c9a903a3722e266fc6746e	Bacteria	Bacillota	Bacilli	Caryophanales	Paenibacillaceae	Gorillibacterium
f1ca14deea4d0cfd893c5471dec008642e01587b	Bacteria	Actinomycetota	Actinobacteria	Micromonosporales	Micromonosporaceae	Phytohabitans
f4643add5aaf197a79192c02b48eeb4682c94a32	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Piscinibacter
0c2eabb363428fa662384f1f4c2ac6f3338062fb	Bacteria	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Rurimicrobium
49c74bca3a7a659e62367f12c86303e843aa36f1	Bacteria	Actinomycetota	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Spirillospora
733e332cffb738ab7433fc0bff8d964e77767b0c	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella
2ee04cb2a66e04160745cb7f566254f7fedf95f2	Bacteria	Actinomycetota	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Spirillospora
455b5d77558b04f0ee14507a6897239f4596e0c6	Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Phaselicystidaceae	Phaselicystis
9ada5fe7aa766a8945975681fe7ace22dc6167aa	Bacteria	Gemmatimonadota	Gemmatimonadia	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas
caed89e9b43033242fa99ea1f418e6e6700fb75e	Bacteria	Pseudomonadota	Betaproteobacteria	Rhodocyclales	Azonexaceae	Ferribacterium
39d55064b638a0ae57a3f88b47c5c252912ef5a9	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	Conexibacteraceae	Conexibacter
c51ae24082f4ae74bfb0aa128d53ecb6904166d3	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella
a4f400cdf19d324d85a46116914d91dc9e49a61b	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Intrasporangiaceae	Pedococcus
56ef2a6d512924fb5791933fe1f11bb80d5071b8	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Pararhizobium
2a39dcb7c8f6b865e9153455562c5d8bddba6bcf	Bacteria	Gemmatimonadota	Gemmatimonadia	Gemmatimonadales	Gemmatimonadaceae	Gemmatirosa
